Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
California State University-Northridge,3,4,Public,Far West,Large City,0.4624,33581,20899,19,918,0.2575,0.0623,0.4029,0.1123,0.0017,0.0026,0.0335,0.0734,0.1618,20899,6952,8395,0.4602,0.4848,0.4575,0.782,0.1936,7.6,12500,15000,9000,0.680000007,0.769999981,22.63999939,39205.28,27373,12.93999958,968,7257,41900,38300
California State University-Fresno,3,4,Public,Far West,Large City,0.5815,19911,16377,19,920,0.2511,0.0404,0.4258,0.1566,0.0038,0.0025,0.0305,0.0344,0.1186,16377,6446,8027,0.5161,0.5407,0.4859,0.8323,0.1628,6.5,14500,16500,12000,0.699999988,0.800000012,22.36000061,40758.26,28781,16.06999969,537,4757,40700,38100
The University of Texas at El Paso,3,4,Public,Southwest,Large City,0.9981,19527,15272,20,923,0.0757,0.0269,0.8281,0.0075,0.0022,0.0012,0.0061,0.0489,0.3372,15272,6854,8167,0.7051,0.5802,0.3946,0.6989,0.257,9.8,12500,18250,10750,0.75999999,0.839999974,22.97999954,31959.81,22907,19.01000023,525,4251,37300,34300
California State University-Sacramento,3,4,Public,Far West,Large City,0.6968,25991,19380,20,945,0.3247,0.0591,0.2567,0.2086,0.0046,0.0093,0.0585,0.0149,0.191,19380,7281,8364,0.4894,0.505,0.4285,0.8251,0.2521,7.1,15000,17250,12000,0.75999999,0.730000019,23.13999939,43423.41,28449,10.14000034,772,5864,45200,42700
CUNY John Jay College of Criminal Justice,3,4,Public,Mid-Atlantic,Large City,0.3405,12838,13308,0,950,0.2214,0.1934,0.4286,0.1099,0.0035,0.006,0.0103,0.027,0.1922,13308,8585,7339,0.3844,0.5446,0.335,0.7795,0.2011,10.3,8251,11500,6500,0.370000005,0.850000024,21.21999931,30945.09,23126,19.87999916,521,3924,41800,37600
Southern New Hampshire University,3,4,Private,New England,Mid-size City,0.7866,17172,39677,0,965,0.2893,0.0518,0.0179,0.0078,0.0046,0.0005,0.0019,0.0249,0.4606,39677,2810,6991,1,0.4058,0.542,0.6918,0.6234,6.8,7688,22500,6498,0.970000029,0.409999996,24.46999931,70725.24,56925,5.070000172,169,1530,41100,38200
California State University-San Marcos,3,4,Public,Far West,Large Suburb,0.6251,10689,20386,21,966,0.3525,0.0327,0.3657,0.0952,0.0045,0.0044,0.0491,0.0201,0.1745,20386,8553,8357,0.4852,0.431,0.4791,0.823,0.1888,6.4,14000,18500,12500,0.819999993,0.639999986,23.78000069,49340.92,31166,7.21999979,271,1871,43600,40500
Montclair State University,3,4,Public,Mid-Atlantic,Large Suburb,0.6532,15182,22773,0,970,0.4739,0.0939,0.234,0.053,0.0005,0.0014,0.0355,0.0154,0.1292,22773,9239,9661,0.3574,0.3726,0.6339,0.856,0.1367,3.3,19000,23875,10500,0.910000026,0.50999999,21.65999985,69758.99,53696,6.480000019,325,2972,44900,43400
Eastern Washington University,3,4,Public,Far West,Fringe Town,0.7967,11672,19831,21,970,0.6625,0.0351,0.1192,0.0298,0.0118,0.0029,0.0428,0.0279,0.1678,19831,6495,7287,0.6404,0.3871,0.4524,0.7479,0.2113,6.3,15265,20500,11666,0.910000026,0.579999983,22.86000061,55129.84,43755.5,8.899999619,359,2794,40000,37700
Metropolitan State University of Denver,3,4,Public,Rocky Mountains,Large City,0.7116,21696,14034,21,973,0.6064,0.0604,0.2095,0.0342,0.0073,0.0026,0.0338,0.0046,0.3994,14034,4898,5904,1,0.3851,0.2597,0.658,0.4505,13.4,13450.5,25000,9997,0.879999995,0.629999995,25.09000015,46429.22,32755,6.050000191,864,4688,38200,34900
